                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.1533,                0.73596,                 1.1276,                0.83353,                 0.7925,                 0.8313,                  0.515,                 1.2569,                0.77331,                 1.2289,                0.00802,                0.00802,                0.00802
                     62,                 1.1594,                0.73015,                 1.1303,                0.83936,                0.79785,                0.83162,                 0.5135,                 1.2654,                0.77513,                 1.2392,               0.007987,               0.007987,               0.007987
                     63,                 1.1548,                0.74033,                 1.1334,                  0.829,                0.78715,                0.82862,                0.51843,                 1.2507,                0.76973,                 1.2252,               0.007954,               0.007954,               0.007954
                     64,                 1.1501,                0.73422,                 1.1311,                0.82423,                0.80026,                0.83428,                 0.5192,                 1.2533,                0.78676,                 1.2272,               0.007921,               0.007921,               0.007921
                     65,                 1.1401,                0.72275,                  1.128,                0.84285,                0.79506,                0.83633,                 0.5211,                 1.2623,                   0.77,                 1.2321,               0.007888,               0.007888,               0.007888
                     66,                 1.1509,                0.72878,                 1.1298,                0.82986,                 0.8032,                0.83635,                0.52328,                 1.2523,                0.76611,                 1.2216,               0.007855,               0.007855,               0.007855
                     67,                 1.1356,                0.71256,                 1.1215,                0.83157,                0.80528,                0.83831,                0.52491,                 1.2459,                0.75497,                 1.2166,               0.007822,               0.007822,               0.007822
                     68,                  1.133,                0.71746,                 1.1181,                0.83026,                0.80522,                0.83579,                0.52563,                   1.24,                 0.7475,                 1.2101,               0.007789,               0.007789,               0.007789
                     69,                  1.128,                0.71239,                  1.115,                0.83724,                0.80585,                0.83763,                0.52767,                 1.2278,                0.74892,                 1.2112,               0.007756,               0.007756,               0.007756
                     70,                 1.1306,                0.71981,                 1.1164,                0.84202,                0.80157,                0.84231,                0.52581,                 1.2548,                0.74925,                 1.2262,               0.007723,               0.007723,               0.007723
                     71,                 1.1302,                0.69843,                 1.1108,                0.84954,                0.79529,                0.84333,                0.53258,                 1.2309,                0.74579,                 1.2117,                0.00769,                0.00769,                0.00769
                     72,                 1.1168,                0.70607,                  1.112,                0.83717,                0.80238,                0.84023,                0.53074,                 1.2239,                 0.7469,                 1.2109,               0.007657,               0.007657,               0.007657
                     73,                 1.1167,                0.69831,                 1.1083,                0.83331,                0.80764,                0.83731,                0.53085,                 1.2282,                0.74458,                 1.2041,               0.007624,               0.007624,               0.007624
                     74,                 1.1202,                0.71157,                 1.1137,                0.84807,                0.79865,                0.84156,                0.53271,                 1.2363,                0.75285,                  1.217,               0.007591,               0.007591,               0.007591
                     75,                 1.1061,                0.69436,                 1.1035,                0.84606,                0.80692,                0.84468,                0.54102,                 1.2126,                0.73374,                 1.2082,               0.007558,               0.007558,               0.007558
                     76,                 1.1076,                 0.6926,                 1.1074,                0.84013,                0.80944,                0.84642,                 0.5373,                 1.2206,                0.73303,                  1.213,               0.007525,               0.007525,               0.007525
                     77,                 1.1106,                0.69729,                 1.1119,                0.85162,                0.80698,                0.84463,                0.53701,                 1.2197,                0.74324,                 1.2165,               0.007492,               0.007492,               0.007492
                     78,                 1.1005,                0.68942,                  1.102,                0.84807,                 0.8059,                0.84409,                0.53883,                 1.2118,                0.73189,                 1.2086,               0.007459,               0.007459,               0.007459
                     79,                  1.105,                0.69007,                 1.1042,                0.84922,                0.80376,                0.84371,                0.53848,                 1.2152,                0.73084,                 1.2112,               0.007426,               0.007426,               0.007426
                     80,                 1.0962,                0.68554,                 1.0991,                0.84276,                0.81016,                0.84363,                0.54162,                 1.2059,                0.72813,                 1.2002,               0.007393,               0.007393,               0.007393
                     81,                 1.1002,                0.68333,                 1.0981,                0.83591,                 0.8165,                0.84476,                 0.5404,                 1.2143,                0.72767,                 1.2064,                0.00736,                0.00736,                0.00736
